cpu_speed,volts,cpu_pct,load_avg,temp
1.500016128,0.75,0.0,1.04,46.1
1.700017792,0.8915,10.5,1.04,47.2
1.700024448,0.8915,11.1,1.04,47.7
1.700024448,0.8915,10.3,1.04,47.2
2.400030464,0.8915,20.2,1.04,46.6
2.400033792,0.8915,6.6,0.96,46.1
2.400033792,0.8915,11.9,0.96,47.7
2.400033792,0.8915,8.4,0.96,47.2
2.400023808,0.8915,2.9,0.96,46.6
2.400030464,0.8915,1.9,0.96,47.2
2.400030464,0.8915,8.5,0.96,47.7
2.40002048,0.8915,11.2,0.96,47.7
2.400030464,0.8915,6.7,0.96,46.1
2.400023808,0.8915,9.2,0.96,47.7
2.40002048,0.8915,31.1,0.96,48.8
2.40002048,0.8915,35.5,0.96,48.3
2.400030464,0.8915,40.0,0.96,51.0
2.40002048,0.8915,57.4,0.96,49.9
2.400033792,0.8915,65.5,0.96,49.9
2.40003712,0.8915,62.6,0.96,50.5
2.400023808,0.8915,70.3,0.96,49.9
2.400027136,0.8915,63.9,0.96,49.9
2.400017408,0.8915,50.4,0.96,49.9
2.40002048,0.8915,51.4,1.04,50.5
2.40002048,0.8915,49.6,1.04,50.5
2.400033792,0.8915,54.2,1.04,50.5
2.40003712,0.8915,57.0,1.04,49.9
2.40002048,0.8915,58.9,1.04,49.9
2.400017408,0.8915,56.5,1.04,49.4
2.40002048,0.8915,56.1,1.04,48.8
2.400017408,0.8915,72.9,1.04,51.6
2.400030464,0.8915,81.7,1.04,51.6
2.400033792,0.8915,77.4,1.04,50.5
2.400023808,0.8915,75.0,1.04,52.7
2.400030464,0.8915,73.1,1.04,50.5
2.400027136,0.8915,75.5,1.04,52.1
2.400027136,0.8915,84.4,1.04,52.7
2.40002048,0.8915,89.4,1.04,52.1
2.400033792,0.8915,87.6,1.04,52.1
2.400023808,0.8915,75.5,1.04,51.6
2.400030464,0.8915,77.4,1.04,52.1
2.400033792,0.8915,77.3,1.28,50.5
2.400023808,0.8915,78.0,1.28,52.7
2.400030464,0.8915,89.7,1.28,51.6
2.400030464,0.8915,90.3,1.28,52.1
2.400033792,0.8915,89.8,1.28,52.7
2.400033792,0.8915,92.7,1.28,51.6
2.400023808,0.8915,92.1,1.28,52.7
2.40002048,0.8915,91.1,1.28,52.1
2.40002048,0.8915,91.1,1.28,55.4
2.400033792,0.8915,92.0,1.28,52.7
2.400023808,0.8915,90.9,1.28,53.8
2.400023808,0.8915,90.8,1.28,53.8
2.400023808,0.8915,88.1,1.28,54.3
2.40002048,0.8915,90.0,1.28,53.8
2.40002048,0.8915,84.2,1.28,52.7
2.400027136,0.8915,85.2,1.28,53.8
2.400027136,0.8915,89.3,1.28,55.4
2.400023808,0.8915,89.3,1.28,53.8
2.40003712,0.8915,89.2,1.66,53.8
2.400030464,0.8915,88.2,1.66,55.4
2.400033792,0.8915,91.0,1.66,54.9
2.40002048,0.8915,89.8,1.66,54.3
2.400027136,0.8915,90.0,1.66,52.7
2.40002048,0.8915,90.1,1.66,54.3
2.40002048,0.8915,91.7,1.66,53.2
2.400033792,0.8915,89.9,1.66,53.2
2.400023808,0.8915,86.8,1.66,53.8
2.400017408,0.8915,84.9,1.66,53.2
2.40002048,0.8915,87.2,1.66,53.8
2.400023808,0.8915,85.5,1.66,52.7
2.400017408,0.8915,88.6,1.66,53.2
2.400027136,0.8915,84.4,1.66,53.2
2.400023808,0.8915,83.3,1.66,54.3
2.40002048,0.8915,83.6,1.66,54.3
2.400033792,0.8915,87.3,1.66,54.3
2.400023808,0.8915,88.4,1.66,55.4
2.400017408,0.8915,88.7,2.09,52.7
2.400027136,0.8915,87.3,2.09,53.2
2.400030464,0.8915,88.0,2.09,53.2
2.40002048,0.8915,89.3,2.09,55.4
2.40002048,0.8915,89.8,2.09,53.8
2.400023808,0.8915,90.7,2.09,53.8
2.400033792,0.8915,87.2,2.09,53.8
2.400030464,0.8915,85.5,2.09,54.3
2.40002048,0.8915,85.5,2.09,54.3
2.400030464,0.8915,86.4,2.09,53.2
2.40002048,0.8915,85.5,2.09,53.2
2.400023808,0.8915,85.5,2.09,55.4
2.40002048,0.8915,86.9,2.09,54.3
